text,category
"


Pity you didn't say something about the use of statistics to justify
targeting and persecuting a minority, then.



What in the Tree makes you think we queers CAN'T experience that commitment? 
What's stopping us from committing to one partner for the rest of our lives? 
I have every intention of doing so, once I find the right person...and
whether that person is male or female, I seriously doubt that a church
ceremony/public vow/licence will make any difference whatsoever in the sort
of commitment I experience with that person.  You have no conception of the
difference marriage makes since you have never known any other way.




You're getting to the right idea here...just be careful of making statements
like the above, and you'll be part of the solution and not the problem.


No flames necessary. :)

Drywid",talk.politics.misc
"



 
                     ^^^^^^^^^


Maybe we should ask the 83,103 people who were laid off this January whether
or not we're in a recession. That was a figure that was reported in the
New York Times. There is no official figure, because the Bureau of Labor
Statistics stopped government tracking of layoffs eight months ago due to
budget cuts.

(The above information was published in Harper's Index, Harper's magazine.)
",talk.politics.misc
"From article <1qvampINNmhf@darkstar.UCSC.EDU>, by stephen@orchid.UCSC.EDU:








I believe that this is not contradictory on the basis that
the quality of media reporting varies greatly based on the
subject at hand.  The media has proven itself very accurate
is the areas of presenting raw, undisputed data.  One good
example would be the weather page in which high and low
temperatures of the previous day for a large number of
locations are posting.  There is little evidence to show
that they are in error.

The American media has failed us in its analysis of complex
events, however.  I'm sure that we can come up with many
news stories that have left us angry because so many facts
have been ommitted.  Cases that come to mind are the
invasion of Panama, the war with Iraq, the disaster in Waco,
the issues surrounding the acceptance of gays into the
military, the war on drugs, and many others.

The story that you bring to light was regarding the new
sex survey.  While I'm sure that due to lazyness some of
the data was ommitted from the article, I would venture to
guess that the data that was presented did not deviate
from the survey.  I do, however, think that it would be
folly to have blind faith in a single newswriter's
analysis of this data.  In this particular case, there was
little analysis, and the reader was left to draw his/her
own convictions.

Many netters, Mr. Cramer included, often forget that the
American media are merely a number of businesses, who's
purpose in life is to make money for their owners and
stockholders.  Revenues come largely from advertisers
who merely want maximum useful exposure per dollar.  The
media is like fast food; the quality of the food (or of
the reporting) will improve only if the customers demand
as such.  Otherwise, it is business as usual.",talk.politics.misc
"Original to: wats@scicom.AlphaCDC.COM
G'day wats@scicom.AlphaCDC.COM

20 Apr 93 18:17, wats@scicom.AlphaCDC.COM wrote to All:

 wAC> wats@scicom.AlphaCDC.COM (Bruce Watson), via Kralizec 3:713/602

 wAC> The Apollo program cost something like $25 billion at a time when
 wAC> the value of a dollar was worth more than it is now. No one would
 wAC> take the offer.

If we assume 6% inflation since 1969, that $25B would be worth about $100B
GD reckon a moon mission today could cost only $10B. Thats a factor of ten
reduction in cost. It might be possible to reduce that number futher by
using a few shortcuts ( Russian rockets?).   Asuming it gets built, I think
the Delta Clipper could very well achive the goal.

ta

Ralph",sci.space
"
  What, pray tell, does this mean? Just who exactly is *they*?
You mean ""they"" as in people who do not blindly swallow every
piece of propoganda they are given? Or ""they"" as in NOKD (not
our kind, dear). Or ""they"" as in an appeal to some audience
that is supposed to implicitly know and understand?


  Read: I do not know what the fuck I'm talking about, and am
not eager to make a fool of myself.
 

  From a pragmatic standpoint, there certainly is some justification
if it is a vice people will commit anyway. Shall we criminalize
alcohol again? If the re-legalization for alcohol were done from
anything other than the pragmatic standpoint, I'd be happy to hear 
about it. The fact is that it wasn't.


  Only the first one make any sense. There is nothing to ""legalize""
about all the rest. Just in case you haven't made the connection 
(which I expect you haven't) the connecting theme in this thread is
a persons autonomy over their life and body. Vice statutes serve
only to make it more expensive for the rich and more dangerous
for the poor, as Tim so eloquently put it. People will, however,
take autonomy over their lives, regardless of what the government
says.
  And why, pray tell, is AIDS ""victim"" in snear quotes? Are you of
the revisionist sort that thinks there is no such thing as the AIDS
plauge? Or do they just deserve it?
-- ",talk.politics.misc
"This is very curious being that they are both built by Mercury in the
very same factory.

Steve",rec.autos
"
What is the penalty if convicted of murdering 4 Federal agents
in Texas?  The death penalty.


Yup.",talk.politics.misc
"

Sounds more like an Opel GT.  Neat cars, fun to drive.  Sold through
Buick from 196? through 1973 (if I remember correctly).  I believe it
was in '72 that there were some engine mods made such that parts
were not interchangeable with the older models.  Parts are thus much
harder to come by for the later models.  Parts in general are not
too difficult to find.  At one time JC Whitney carried some stuff
including a brand new (not remfg) long block.  Either a GT or a
Kharman Ghia (hmm that spelling looks hosed) will be my next project.",rec.autos
"I don't want to attack anyone's personal opinions and thus have not
included any articles - but it seems to me incredibly ridiculous
and pompous for someone to sit back with the benefit of hindsight
and point fingers at Clinton, Reno, the FBI, or whomever.

First of all, it is a knee-jerk judgement.  The facts are quite
muddled at this point and will likely be for quite a while.

Secondly, things do not improve by pointing blame and accusatory
fingers.  Pointing fingers is a destructive action.  If everyone
sat around pointing fingers all the time, nothing would get done
and nothing would ever get any better.  And despite the tragedy,
we can learn something from this - if it is approached in a 
constructive manner.  Doesn't it seem that working together is
more productive than working against one another?

Thirdly, it seems incredibly hypocritical to place blame given
the benefit of hindsight - something that those who made the
decisions did not have the benefit of.  Why not give them the courtesy
of acknowledging that they did the best they could with the
data they had - in a very, very difficult situation.  Some
responses have gone so far to suggest that the actions were done
without regard for the lives of the people in the compound - give
me a break.

Be part of the solution - not the problem.

And that's MY opinion -",talk.politics.misc
"
Actually, Hiten wasn't originally intended to go into lunar orbit at all,
so it indeed didn't have much fuel on hand.  The lunar-orbit mission was
an afterthought, after Hagoromo (a tiny subsatellite deployed by Hiten
during a lunar flyby) had a transmitter failure and its proper insertion
into lunar orbit couldn't be positively confirmed.

It should be noted that the technique does have disadvantages.  It takes
a long time, and you end up with a relatively inconvenient lunar orbit.
If you want something useful like a low circular polar orbit, you do have
to plan to expend a certain amount of fuel, although it is reduced from
what you'd need for the brute-force approach.",sci.space
"
Your best bet is the Dodge Intrepid with the SOHC 24 valve 3.4? six.
it gets 214 hp, and has a hell of a lot of room, great styling, and
ABS, with four wheel disk breaks.  The LH cars won Automobile 
magazines 
""automobile of the year"" award, and are quiet impressive.

",rec.autos
"The most current orbital elements from the NORAD two-line element sets are
carried on the Celestial BBS, (513) 427-0674, and are updated daily (when
possible).  Documentation and tracking software are also available on this
system.  As a service to the satellite user community, the most current
elements for the current shuttle mission are provided below.  The Celestial
BBS may be accessed 24 hours/day at 300, 1200, 2400, 4800, or 9600 bps using
8 data bits, 1 stop bit, no parity.

Element sets (also updated daily), shuttle elements, and some documentation
and software are also available via anonymous ftp from archive.afit.af.mil
(129.92.1.66) in the directory pub/space.

STS 56     
1 22621U 93 23  A 93105.58333333  .00090711  00000-0  25599-3 0   249
2 22621  57.0029 144.8669 0004136 304.2989 134.3206 15.92851555  1179
1993 023B  
1 22623U 93 23  B 93103.37312705  .00041032  00000-0  11888-3 0    86
2 22623  57.0000 155.1150 0004422 293.4650  66.5967 15.92653917   803",sci.space
"
In 1860:

region              total population  free blacks  %       slaves   %
U.S.                32,227,616        487,070      1.5%    3,953,818 12.3%
Confederacy          9,103,332        132,760      1.5%    3,521,110 38.7%
Union Slave States   3,212,041        128,158      4.0%      432,586 13.5%
All Union States    23,124,284        354,310      1.5%      432,708  1.9%
Union ""Free"" States 19,912,243        226,152      1.1%          122  0.0%

",talk.politics.misc
"   We don't disagree on this.  All I said was that a right is whatever
you or somebody acting for you can enforce.  The Bill of Rights didn't
come into effect until it was ratified by the states (and indirectly,
the people); from that point it defined legal rights.  ""Common law""
rights are vague and situational; that's why the people insisted on a
Bill of Rights in the Constitution, spelling out exactly what they
demanded from the government.  Legitimate or illegitimate, power is
power.  That's why the federal government can force states to grant
their citizens rights they don't wish to: In a slugging match, the feds
win.  Period.

   And you're right, this doesn't belong in sci.space.  I've said my
peace.  No more frome me on rights (at least not here).
",sci.space
"A related question (which I haven't given that much serious thought 
to): at what lattitude is the average length of the day (averaged 
over the whole year) maximized? Is this function a constant=
12 hours? Is it truly symmetric about the equator? Or is
there some discrepancy due to the fact that the orbit is elliptic
(or maybe the difference is enough to change the temperature and
make the seasons in the southern hemisphere more bitter, but
is far too small to make a sizeable difference in daylight
hours)?

I want to know where to move.",sci.space
"
I've always heard them referred to ""horizontally opposed""...

Joe
",rec.autos
"


The Command Loss Timer is a timer that does just what its name says;
it indicates to the probe that it has lost its data link for receiving
commands.  Upon expiration of the Command Loss Timer, I believe the
probe starts a 'search for Earth' sequence (involving antenna pointing
and attitude changes which consume fuel) to try to reestablish
communications.  No-ops are sent periodically through those periods
when there are no real commands to be sent, just so the probe knows
that we haven't forgotten about it.

Hope that's clear enough to be comprehensible. 

-- 
""Insisting on perfect safety is for people who don't have the balls to live
 in the real world.""   -- Mary Shafer, NASA Ames Dryden",sci.space
"
Why all the quote marks, Roy?  I can see that they might be appropriate where
there is a legitimate concern that the words are being distorted by context, 
or that they have been appropriated Newspeak-style, but, reading your comments above,
one might be excused if they assumed that you were claiming that ""child abuse"",
""forced"" sexual activity, and ""damage"" caused by this is non-existant or
greatly overblown.

""Positive experiences"", indeed!

-Paul Elliott
(Member in good standing of the Optilink Mafia)


",talk.politics.misc
"
is this really the dealer's cost?  did you get the dealer's cost by
looking at the invoice?  there may be factory to dealer incentives.
i'd check this out, since i have trouble believing that a dealer would
sell a car to me at his cost.

dealer invoice is not necessarily the dealer cost.",rec.autos
"
No we don't.  They might be zealous, and maybe the bureau shouldn't
exist by some people, but they ARE NOT NAZIS.

Why do people toss around the Nazi label so easily?

",talk.politics.misc
"& >I'm not familiar with the trannies used in Winston Cup, but in the trans-am
& >cars I've played with the  transmissions were the racing variety, with
& >dog clutches instead of sychros.  In a transmission with dog clutches, the
& >gears are always  engaged with each other and moving the dog clutches
& >engages the gears to the shafts.  Motorcycle transmissions are the same way.
& >Shifting without the clutch on a transmission with syncros can and will cause
& >transmission damage, the only question being how long it  takesto grenade
& >something (for the trans in my 87  Pulsar SE, it was  about 3-5k miles, but
& >it had a weak  tranny in the first place).
& 
& just out of curiosity, how is this ""dog clutch"" any different from a synchro
& transmission.  What you described SOUNDS the same to me.  In fact, what little
& i've studied on trannies, the instructor referred to the synchros as ""dogs""
& and said they were synonymous.  The gears are always meshed in a synchronized
& gearbox, and you slip the synchro gears back and forth by shifting. Or at least,
& that is what i was taught.  Explain, por favour?

Motorcycle transmissions don't have synchros.  The engagment dogs are very
corse and sloppy.  There are maybe 6-10 teeth (dogs) on the side of the
gears that engage the next gear over as the forks slide the gears back
and forth.  To shift:  start to apply pressure at the same time the
clutch is pulled (the clutch is a hand lever) and shift quickly.  If 
you try a slow lazy shift it will grind, you just have to pop it into
the next gear before it has a chance to grind.  There isn't a neutral
between gears (obviously there is, but you can't select it with the
shifter) so double clutching is not a possibility.  ""speed shifting""
(which is what I have always heard ""clutchless shifting"" called) works
pretty well for upshifts with some practice, but I usually use the
clutch-especially for the lower gears.

I think auto (as in automobile) trannys are similar, except that the
engagment dogs are very fine, with no slop.  And the addition of
syncho rings.  The gear teeth are always engaged in auto transmissions
that are synchronized, but may not be in non-synchro gears (reverse
and sometimes first).  
",rec.autos
"Thanks to the people who have answered here and in email to my 
question about which countries engage in space surveillance. 
Unfortunately, I apparently didn't make the meaning of the message 
clear, since most replies have addressed satellite reconnaissance, 
rather than space surveillance 

     What I meant was _not_ which countries use satellites to look at 
the Earth (satellite reconnaissance) , but _was_ which countries have 
programs to detect and track (i.e., determine the orbital elements of) 
satellites as they pass overhead (space surveillance). 

    The US uses missile-defense radars, supplemented by a fascinating 
quasi-radar operated by the Navy, to do this for satellites in LEO, and 
electrooptical systems for objects at altitudes above 5,000 km or so. 
The FEE, I understand, does much the same thing. 

    Amateur satellite observers use eyeballs, binoculars, stopwatches 
and PCs for objects out to around 1500 km, enabling them to keep track 
of satellites for which, ah, official element sets aren't available. 
See the fascinating books by Desmond King-Hele for details, as well as 
the files in the molczan directory on kilroy.jpl.nasa.gov.  The 
material posted in my previous message suggests that Japan engages in 
optical and radar space surveillance to a modest degree, and it may be 
that other countries do also. 

    Which was the question I meant to ask: who are they, how do they do 
it, and why do they do it?


Allen Thomson                     SAIC                        McLean, VA",sci.space
"

The name is a working name only; quite unofficial.  The formal designation
is 1993 FW.
",sci.space
"on Date: 01 Apr 93 18:03:12 GMT, Ralph Buttigieg <ralph.buttigieg@f635.n713.z3.fido.zeta.org.au>
/Why can't the government just be a tennant? Private commercial concerns
/could just build a space station system and charge rent to the government
/financed researchers wanting to use it.

I believe that this was the thought behind the Industrial Space Facility.  I
don't remember all the details, but I think Space Services (?) wanted NASA to 
sign an anchor tenancy deal in order to help secure some venture capital but 
NASA didn't like the deal.  (I'm sure I'll hear about it if I'm wrong!)",sci.space
"reasonable  

That's probably true but it's the closest to it that you're going to get.  
The actual dealer cost depends on a lot of things and even the dealer  
probably doesn't know exactly what it will be until all the factory   
kick-backs, incentives, etc. are paid and that often depends on his volume  
at the end of the month/quarter/whatever. It might be a funny munber but  
it's all you have to start with, except the sticker, and anyone who pays  
sticker price is really being ripped off.",rec.autos
"
   [re: voyages of discovery...]
   Could you give examples of privately funded ones?

If you believe 1492 (the film), Columbus had substantial private
funds.  When Columbus asked the merchant why he put the money in, the
guy said (slightly paraphrased) , ""There is Faith, Hope and Charity.
But greater than these is Banking.""",sci.space
"# |# # Can someone tell me why when Mr. Cramer spouts on about homosexuals,
# |# # he only addresses homosexual men, and never, in any post I've read,
# |# # addressed lesbians?
# |# 
# |# I can't really speak for Mr. Cramer here, but I can say that a
# |# homosexual [male] is an entirely different animal than a lesbian.
# |# There is virtually nothing that is analogous or related between the
# |# aberrant behaviors practiced by these two groups of deviants.
# 
# Obviously.  A homosexual male is of the XY chromosome pair and the lesbian
# is of XX.  Besides, what does that have to do with the price of eggs?  Since
# Mr Cramer is _very_ straight, he most probably gets off to the thought of
# lesbians, like the majority of adolescent males.
# 
# |#   The views expressed herein are   |  Theodore A. Kaldis
# |  Adda Wainwright        |    Does dim atal y llanw!         8o)         |

I hate to disappoint you, but that's not the case.  I don't ""get off""
on lesbian sex, nor am I an adolescent.  Now, when I was an adolescent,
I believed that homosexuals were just like everyone else.  But I've
learned since then.",talk.politics.misc
"Apologies if this gets posted twice, but I don't think the first one
made it.
--------------------------------------------------------------------
   FOR IMMEDIATE RELEASE           Contact:  OASIS (310) 364-2290

   15 April 1993                                Los Angeles, CA

     LOCAL NATIONAL SPACE SOCIETY CHAPTERS SPONSOR TALK BY L.A.
  ADVOCATE OF LUNAR POWER SYSTEM AS ENERGY SOURCE FOR THE WORLD

   On April 21, the OASIS and Ventura County chapters of the National 
Space Society will sponsor a talk by Lunar Power System (LPS) co-
inventor and vice-president of the LPS Coalition, Dr. Robert D.
Waldron.  It will be held at 7:30 p.m. at the Rockwell Science
Center in Thousand Oaks, CA.

   Dr. Waldron is currently a Technical Specialist in Space
Materials Processing with the Space Systems Division of Rockwell
International in Downey, California.  He is a recognized world
authority on lunar materials refinement.  He has written or
coauthored more than 15 articles or reports on nonterrestrial
materials processing or utilization.  Along with Dr. David
Criswell, Waldron invented the lunar/solar power system concept.

   Momentum is building for a coalition of entrepreneurs, legal
experts, and Soviet and U.S. scientists and engineers to build
the Lunar Power System, a pollution-free, energy source with a
potential to power the globe.

   For the past three years members of the coalition, nearly half
from California, have rejuvenated the commercial and scientific
concept of a solar power system based on the Moon.

   The LPS concept entails collecting solar energy on the lunar
surface and beaming the power to Earth as microwaves transmitted
through orbiting antennae.  A mature LPS offers an enormous
source of clean, sustainable power to meet the Earth's ever
increasing demand using proven, basic technology.

   OASIS (Organization for the Advancement of Space
Industrialization) is the Greater Los Angeles chapter of the
National Space Society, which is an international non-profit
organization that promotes development of the space frontier.
The Ventura County chapter is based in Oxnard, CA.

       WHERE:  Rockwell Science Center Auditorium, 1049 Camino
               Dos Rios, Thousand Oaks, CA.",sci.space
"
Isn't name calling fun!

What do you think happened at Watergate? What do you think they broke into
the building for? It wasn't to just look around. Do I have to draw you 
a picture?

Whatever...

------------------------------------------------------------------------------
""Who said anything about panicking?"" snapped Authur.           Garrett Johnson
""This is still just culture shock. You wait till I've       Garrett@Ingres.com
settled into the situation and found my bearings.
THEN I'll start panicking!"" - Douglas Adams  ",talk.politics.misc
"    >In article <philC5LsD9.Ms3@netcom.com> phil@netcom.com (Phil
    >
    >>Libertarians want the State out of our lives.
    >>
    >>NAMBLA members want to fuck little boys.
    >>
    >>NOW do you get it?
    >>
    >I see! Libertarians want to have the right to fuck little
    >children of either sex, and want to make sure everyone else
    >has this right too. NAMBLA just wants to have the right to
    >fuck little boys.
    >
    >>Or are you just a secret member of NAMBLA?
    >>
    >You're the one who suddenly seems to be defending the right
    >to fuck children. How many little girls have you raped today,
    >Phil?
    >
    >If wanting to abolish the age of consent is not repectable,
    >it is not respectable for anyone.

Hmm, you still don't get it. Then again, I'm not posting from a  University
where the hue and cry was raised against ""Jewish physics"".

Tell me, committed any anti-semitic acts today? What kind of boots do you
wear?

And still -- Libertarians want the State out of their lives. Parents are very
capable of protecting their children against the predations of pedophiles,
which, BTW, you still haven't disassociated yourself from.

Are you, or are you not, a member of NAMBLA?



-- 
There are actually people that STILL believe Love Canal was some kind of
environmental disaster. Weird, eh?",talk.politics.misc
"
I don't know if some lemons are out there, but from personal experience
My brother's has been trouble free.  Not one single repair, only 
regular maintainance.  The only work he had done on it was a result
of his stupidity... he stopped suddenly in the middle of a left turn 
on a busy intersection, and was rear-ended.  He has a 1989 Plymouth
Sundance.  I would recomend it, but I would also like to say that if
you can wait about six months, ChryCo is coming out with a new car
called the Neon, that is built in the same way as the LH's where.
Good luck with your desiscion.


",rec.autos
"
A very well put together post. I disagree with several key points, but the
post is an excellent one with which to ""engage in discourse"":

    >There has been much discussion recently about the right to
    >freedom of association. Mr. Cramer and Mr. Ronzone appear to
    >take an absolutist position on this right--that it is a
    >fundamental human right, perhaps the fundamental human right,
    >and that it supersedes other rights, such as the right to an
    >equal opportunity. Others feel that a right to an equal
    >opportunity outweighs the right to freedom of association,
    >and thus we have the never-ending debate that flares up
    >repeatedly.

Freedom of Association (FOA) involves the MUTUAL and VOLUNTARY agreement of
two or more people.

Right to Equal Opportunity (lets call it REO) involves coercion in all cases
(by definition).


    >A major problem is that neither of these rights are
    >explicitly declared or protected in the Constitution or in
    >the Declaration of Independence, although both can be derived
    >from these documents. Unfortunately, this means that the
    >debate will never end, because neither side can conclu-
    >sively prove the validity of their view--it becomes solely a
    >matter of personal philosophy.

Yes, there is much debate. But no, it can end, with once and for all
recognition of these rights. (Well, not totally 100% perfect end, but end
in the same way that there is no worldwide disagreement that say, murder, is
a crime).


    >My personal opinion is that the real answer lies somewhere in
    >between. I regard both of these rights as fundamental human
    >rights which, unfortu- nately, come into direct conflict with
    >one another. Which is stronger depends on the given
    >situation.

Hmm, there is even MORE discusion about religion. Should  we take a 
""somewhere in between"" approach towards the State & a State recognized
religion? The first amendment, is so, uh, so absolutist you know.

    >For example, if the owner of a ""mom-and-pop"" store wishes to
    >hire an employee to help out, their right to freedom of
    >association outweighs the rights of their job applicants to
    >an equal opportunity. They should be free to hire whomever
    >they choose, using whatever criteria they choose, without any
    >government intervention at all.
    >
    >Similarly, if a family wishes to rent out a bedroom in their
    >home, or a garage apartment, or something similar, then their
    >right to freedom of association outweighs the rights of their
    >prospective tenants to an equal opportunity.
    >
    >If, on the other hand, IBM, a multi-national corporation with
    >275,000 employees, publicly owned, and operated by a board of
    >directors, wishes to hire additional employees, then whose
    >freedom of association are we protecting? The board of
    >directors? The other employees? The owners of the stock? In
    >this case, the applicant's right to an equal opportunity
    >outweighs the right to freedom of association, and we, as a
    >society, can ask IBM to use only those criteria which are
    >relevant to the specific task.

Why? Says who? Why can mon & pop have FOA, but IBM be forced, and force is
the correct word here, to have REO? As purchase of IBM is voluntary, then
there are very well defined procedures on how IBM chooses to do some things
and chooses to do other things. Why not let those same procedures work for
employment policies?


    >Similarly, if a landlord owns a number of apartment buildings
    >in which he does not live, and which are managed by an
    >independent management agency, then whose freedom of
    >association are we protecting? If the owner does not live in
    >his buildings and has no contact with his tenants, then the
    >prospective tenant's right to an equal opportunity outweighs
    >the right to freedom of association, and we, as a society,
    >can ask the owner to use only those criteria which are
    >relevant to ""good"" tenants. (I've put ""good"" in quotation
    >marks because I really don't want to be drawn off into the
    >side issue of what constitutes a good tenant.)

Why does this tenant have an ""option"" (I won't call it a right) to destroy
the FOA of the landlord? If the landlord and the tenant can't agree, then they
both can cease from using each other's property.

Suddenly, by arm waving, by magic, a landlord does not have FOA. And on what
basis does the FOA of the landlord ""disappear""?

It seems that vague terms like ""no contact with tenants"" suffice.

Well, I think FOA is one our most important rightts (in the top 2-3), and by
golly, if the State is going to make it suffer, I sure would like to see the
heinous crime that justifies the removal of this right.

I don't think ""no contact"" with the tenats is even a crime, much less something
that should cause severe interference with important rights.

    >I suspect that the majority of the people in this country
    >agree with my position on these extreme cases, particularly
    >if they are presented in this manner. I don't know if Mr.
    >Ronzone or Mr. Cramer would agree--I suspect not. In any
    >case, additional problems arise when we try to apply
    >guidelines for the middle ground. What if the company has 10
    >employees, or 100, or 1000? Where do we draw the line between
    >protecting the right to freedom of association and protecting
    >the right to an equal opportunity?

Rights are not defined by majority/mob choice. FOA is an absolute. REO
is a fancy name for thuggery, for racism, and coercion.

    >The difficulty is that any line we draw will, of necessity,
    >be artificial. And any legislation resulting will be flawed.
    >In the past, the government has usually tried to pass laws
    >which referred to the number of employees hired by the
    >company--e.g., any company with more than xxx employees was
    >affected by the law. Those with fewer were unaffected.

Of course it would be. You dimly see that the line must be artifiacial, because
FOA is the only right. Just like a State religion -- you can't jsutify that
either.

    >Generally, I believe that if we do not have any regulations
    >affecting these rights, then the right to freedom of
    >association will be stronger. On the other hand, many of the
    >regulations protect the right to an equal opportunity too
    >much, weakening the right to freedom of association.
    >
    >I don't believe there is a satisfactory solution which will
    >please everybody. A solution that I came up with is to use
    >publicly owned vs. privately owned as the dividing line. If
    >the company remains privately owned, then the owners should
    >be free to do whatever they want with their company. If the
    >company becomes publicly owned, then the public has a right
    >to ask the company to submit to additional regulation.

Why? I assume that when you say ""publicly owned"", you are talking about those
quasi-State companys that do NOT have shareholders.

The companies on the Fortune 500, for example, are all privately owned. They
can give you a list of all of their owners. They have no ""anonymous"",
unknown to them, owners.


    >By the way, the above analysis is based on the assumption
    >that the right to freedom of association and the right to an
    >equal opportunity are both fundamental human rights of equal
    >importance. Since this is entirely a matter of faith, not
    >subject to any ""proof"", I do not choose to even try to
    >establish this. You either accept it or you don't.
    >
    >Any comments?

FOA can be derived by any two rational people, on a basis that neither has
evil, malicious, or murderous intent towards the others.

In short, agreement is mutual, or not at all.

Your REO on the other hand, lives only by accepting coercion, the gun, into
the situation. And that is self-destructive of the whole argument, because it
is based only on might makes right. Sort of like saying, ""nobody has a right
to live"", whereupon I whip out a gun and shoot you dead -- end of argument.


-- 
There are actually people that STILL believe Love Canal was some kind of
environmental disaster. Weird, eh?",talk.politics.misc
"


The name is rather descriptive.  It's a command to the spacecraft that tells
it ""If you don't hear from Earth after 264 hours, assume something is wrong
with your (the spacecraft) attitude, and go into a preprogrammed search mode
in an attempt to reacquire the signal from Earth.""",sci.space
"For sale:

1981 Oldsmobile Omega four door.  Gray, power windows, power steering,
power brakes, remote trunk release.  Starts reliably and runs well,
but needs some work.  $400 obo.

For details, email or (708)864-0526.
-- 
Michael A. Atkinson    | There is no try, there is only Dew.
asbestos@nwu.edu       | ",rec.autos
"
And I was pointing out that legal precedent defines a human being as
referring only to the born, so your suggestion was incorrect.


There is a confusion here about what ""bodily resources"" constitutes.  Blood
transfusions and organ donations involve bodily resources; your examples
do not.",talk.politics.misc
